time,gen,duration_s,sigma,fit_parent,best_global,best_x
17:16:39,1,20,0.250000,-5.775368,-5.775368,-0.785460
17:16:52,2,20,0.250000,-5.768294,-5.768294,-0.735289
17:17:05,3,20,0.250000,-5.695254,-5.695254,-0.735289
17:17:18,4,20,0.250000,-5.568554,-5.568554,-0.644065
17:17:30,5,20,0.300000,-5.422648,-5.422648,-0.525947
17:17:43,6,20,0.300000,-5.387160,-5.387160,-0.340293
17:17:56,7,20,0.300000,-5.387160,-5.387160,-0.311156
17:18:09,8,20,0.300000,-5.323923,-5.323923,-0.311156
17:18:22,9,20,0.300000,-5.323923,-5.323923,-0.220292
17:18:35,10,20,0.360000,-5.323923,-5.323923,-0.220292
17:18:48,11,20,0.360000,-5.323923,-5.323923,-0.220292
17:19:01,12,20,0.360000,-5.323923,-5.323923,-0.220292
17:19:14,13,20,0.360000,-5.168924,-5.168924,-0.220292
17:19:26,14,20,0.360000,-5.168924,-5.168924,-0.072720
17:19:56,15,45,0.360000,-4.526086,-4.526086,0.536971
17:20:26,16,45,0.360000,-4.526086,-4.526086,0.536971
17:20:56,17,45,0.360000,-4.526086,-4.526086,0.536971
17:21:26,18,45,0.360000,-4.526086,-4.526086,0.536971
17:21:57,19,45,0.360000,-4.526086,-4.526086,0.536971
17:22:26,20,45,0.300000,-4.526086,-4.526086,0.536971
17:22:57,21,45,0.300000,-4.526086,-4.526086,0.536971
17:23:28,22,45,0.300000,-4.526086,-4.526086,0.536971
17:23:59,23,45,0.300000,-4.526086,-4.526086,0.536971
17:24:31,24,45,0.300000,-4.526086,-4.526086,0.536971
17:25:02,25,45,0.250000,-4.526086,-4.526086,0.536971
17:25:35,26,45,0.250000,-4.526086,-4.526086,0.536971
17:26:08,27,45,0.250000,-4.526086,-4.526086,0.536971
17:26:40,28,45,0.250000,-4.525111,-4.525111,0.536971
