generation,best_fitness,mean_fitness,median_fitness
0,54.861686561420115,60.33456155044844,60.45286537220375
1,54.861686561420115,57.985191176059494,58.456491319552626
2,54.861686561420115,57.08826110388411,57.25570297838079
3,54.36342288604092,56.48379165763295,56.47293164226081
4,54.06997583680264,55.57898109853132,55.3881131513365
5,53.83195206457919,55.09985419492007,54.684531354136475
6,53.83195206457919,54.819318362970684,54.56287528851057
7,53.83195206457919,54.72754265658905,54.56287528851057
8,53.21221137668413,54.342621371087844,54.2445447277738
9,53.0231127332218,54.16739864902051,54.01847068970592
