generation,best_fitness,mean_fitness,median_fitness
0,1821.611531891976,1957.1373676368833,1979.537582318869
1,1821.611531891976,1943.8074294773094,1973.289841739921
2,1821.611531891976,1920.753970173427,1931.3686173384278
3,1730.826548889885,1875.02300320875,1852.3897717030063
4,1730.826548889885,1875.02300320875,1852.3897717030063
5,1730.826548889885,1861.6851759790611,1852.3897717030063
6,1730.826548889885,1859.9066068002764,1852.3897717030063
7,1730.826548889885,1832.3121362440493,1838.2908637108458
8,1730.826548889885,1832.3121362440493,1838.2908637108458
9,1730.826548889885,1827.237854028804,1829.4843617884749
10,1730.826548889885,1821.6216095844436,1823.5054814819794
11,1708.3363230678488,1792.7755833672004,1802.3564326994388
12,1708.3363230678488,1786.4011805518905,1788.3150551261992
13,1708.3363230678488,1769.7897315273513,1762.8909270310687
14,1634.2523256608495,1743.4902897260442,1742.516356509539
15,1634.2523256608495,1713.6433126633808,1729.5670784629683
16,1634.2523256608495,1686.2361074651628,1688.4960329505986
17,1630.2405767792675,1668.3228396221007,1656.8727313223312
18,1598.6732065594165,1644.0779043327261,1635.4293175629386
19,1574.7815538113227,1625.747922344131,1632.2464512200586
20,1574.7815538113227,1617.1554176843365,1628.635068718856
21,1555.333374009581,1596.524985327448,1579.6735953848674
22,1555.333374009581,1595.3748803285355,1579.6735953848674
23,1532.6415592192634,1591.0362191506192,1579.6735953848674
24,1497.880082285426,1581.787450537609,1579.6735953848674
25,1497.880082285426,1575.596324032934,1579.2236007663219
26,1497.880082285426,1571.8727186180913,1578.2873320762983
27,1497.880082285426,1566.7987638177062,1565.0574639104518
28,1497.880082285426,1566.7987638177062,1565.0574639104518
29,1497.880082285426,1562.8541850393005,1565.0574639104518
30,1497.880082285426,1562.1112879534455,1565.0574639104518
31,1497.880082285426,1558.2217625524852,1557.4572689961417
32,1497.880082285426,1553.6855559618762,1554.142438812621
33,1497.880082285426,1553.1436768135402,1552.492542678022
34,1497.880082285426,1550.409920568498,1550.9740821333
35,1497.880082285426,1549.8661637480116,1549.813561901206
36,1497.880082285426,1549.8661637480116,1549.813561901206
37,1497.880082285426,1549.8661637480116,1549.813561901206
38,1497.880082285426,1548.204928357188,1549.813561901206
39,1497.880082285426,1547.8176485621145,1549.813561901206
40,1497.880082285426,1546.086484105977,1548.2552980308687
41,1497.880082285426,1544.7933726168908,1546.0999486806027
42,1497.880082285426,1542.5465198840939,1542.9150403932072
