generation,best_fitness,mean_fitness,median_fitness
0,1141.22314453125,1374.6873779296875,1424.84521484375
1,1026.165771484375,1156.775146484375,1153.919677734375
2,906.0648193359375,1042.680419921875,1062.0665283203125
3,834.027099609375,983.6969604492188,981.2584228515625
4,754.8699951171875,973.4338989257812,968.2783203125
5,738.50244140625,887.6929931640625,860.0750122070312
6,757.20068359375,855.4739379882812,853.111572265625
7,582.29931640625,748.9593505859375,773.8568725585938
8,628.69140625,744.3675537109375,754.823486328125
9,486.489990234375,708.2373046875,750.2020263671875
10,653.1239013671875,715.9683837890625,690.4371337890625
11,630.7042236328125,696.2689208984375,684.1437377929688
12,626.531982421875,718.9344482421875,718.296875
13,569.7523193359375,700.0939331054688,705.3519897460938
14,553.11376953125,632.4522705078125,641.138671875
15,484.196044921875,595.507080078125,572.4678955078125
16,472.72998046875,568.1766967773438,568.3767700195312
17,350.486083984375,532.9854736328125,537.3673095703125
18,414.42626953125,528.276123046875,538.7526245117188
19,432.5504150390625,519.8897705078125,513.9619750976562
20,436.61474609375,526.3388671875,524.6869506835938
21,397.873291015625,514.5021362304688,511.69232177734375
22,455.7537841796875,520.6512451171875,513.3816528320312
23,413.007080078125,513.2525634765625,523.0699462890625
24,385.893798828125,481.7359313964844,481.0789794921875
25,466.4224853515625,529.5272216796875,503.6298828125
26,341.1177978515625,444.2391052246094,425.95013427734375
27,324.844482421875,430.68896484375,433.45526123046875
28,374.2318115234375,424.24542236328125,425.73583984375
29,342.030517578125,400.9504699707031,399.568603515625
30,327.762451171875,395.93975830078125,382.752197265625
31,308.837158203125,360.37518310546875,354.4925537109375
32,332.3251953125,386.2936706542969,388.0439453125
33,307.443603515625,368.48553466796875,372.1337890625
34,307.970458984375,365.61590576171875,364.7122802734375
35,325.158203125,402.5946350097656,410.5054931640625
36,323.167236328125,355.964111328125,342.32635498046875
37,241.7734375,315.74871826171875,281.779296875
38,279.4599609375,342.3369140625,342.52044677734375
39,230.630615234375,326.55780029296875,324.611328125
40,220.23486328125,333.44384765625,340.2891845703125
41,218.179443359375,293.9244689941406,293.27984619140625
42,178.472900390625,250.9445037841797,238.27239990234375
43,221.6923828125,249.67886352539062,251.7552490234375
44,217.6585693359375,259.7066955566406,257.68707275390625
45,182.595458984375,248.86929321289062,260.734130859375
46,254.441162109375,274.3955078125,267.03582763671875
47,211.608642578125,284.1209716796875,283.98211669921875
48,199.414306640625,251.9993133544922,254.53057861328125
49,224.057373046875,270.51153564453125,275.7255859375
50,233.0443115234375,298.24365234375,277.134765625
51,226.243408203125,265.99468994140625,267.059814453125
52,207.293212890625,285.0000915527344,262.845458984375
53,181.459716796875,249.51455688476562,250.75726318359375
54,175.819091796875,247.5898895263672,256.2198486328125
55,151.4400634765625,239.47900390625,230.771728515625
56,168.0643310546875,235.48989868164062,243.34576416015625
57,199.18994140625,259.74609375,266.28582763671875
58,165.5030517578125,247.3839111328125,250.40826416015625
59,211.697265625,237.60910034179688,233.34912109375
60,176.16845703125,218.1090087890625,222.9984130859375
61,170.96240234375,223.60458374023438,220.97955322265625
62,200.9111328125,242.45938110351562,243.0662841796875
63,184.13427734375,238.46035766601562,239.1090087890625
64,172.9765625,237.95571899414062,244.876220703125
65,156.3304443359375,233.70901489257812,238.20263671875
66,154.7926025390625,221.35897827148438,221.93927001953125
67,185.6817626953125,220.2949676513672,207.40777587890625
68,163.49560546875,210.41079711914062,213.45001220703125
69,192.028564453125,244.546875,250.8345947265625
70,179.9736328125,232.9982452392578,229.8446044921875
71,150.1473388671875,199.38839721679688,207.75335693359375
72,155.729248046875,219.89883422851562,216.05810546875
73,156.54150390625,206.1416473388672,205.23553466796875
74,192.6566162109375,238.65859985351562,232.81103515625
75,198.012939453125,240.4948272705078,240.7178955078125
76,166.2421875,247.2226104736328,250.7713623046875
77,184.7781982421875,240.7421417236328,247.57635498046875
78,169.2574462890625,238.63980102539062,250.03717041015625
79,155.0247802734375,235.8726043701172,248.25360107421875
80,155.79541015625,236.4491729736328,240.11566162109375
81,209.0213623046875,248.6237030029297,243.5172119140625
82,180.67919921875,228.9355010986328,223.78656005859375
83,181.7265625,219.25332641601562,219.04498291015625
84,155.68603515625,207.887451171875,195.87847900390625
85,140.47265625,216.655517578125,218.063232421875
86,159.242919921875,191.92515563964844,193.5576171875
87,160.046142578125,190.85609436035156,192.197998046875
88,120.9630126953125,178.7001953125,180.24951171875
89,160.466064453125,191.57998657226562,190.42608642578125
90,176.17431640625,206.28646850585938,208.3463134765625
91,162.50390625,215.59536743164062,213.8037109375
92,177.8974609375,212.1659698486328,197.78729248046875
93,157.2144775390625,200.5214385986328,201.189208984375
94,134.67626953125,194.22909545898438,204.28839111328125
95,135.852294921875,166.5848388671875,161.9686279296875
96,144.13671875,199.82095336914062,204.43310546875
97,148.3680419921875,172.82366943359375,167.69921875
98,155.798828125,200.09669494628906,198.1478271484375
99,168.0029296875,202.3732452392578,195.2093505859375
100,161.59326171875,219.066650390625,213.1982421875
101,173.827880859375,197.709228515625,192.37493896484375
102,155.7607421875,175.62179565429688,176.2093505859375
