generation,best_fitness,mean_fitness,median_fitness
0,1501.895820546275,1594.1945143070539,1607.6812041519856
1,917.7656719070319,1027.0630915856816,1018.4795308318409
2,610.9777703011223,696.472879592184,667.3212507272632
3,360.3100782490883,437.73426458802385,400.169688470222
4,278.43609845692936,330.23811639217547,306.9218377529045
5,212.69242816098586,246.3475719217046,244.88208638669232
6,180.62088508832676,207.21581124149452,205.85106256982908
7,171.13609788014583,186.12768476325536,181.5690006822167
8,147.2669689159161,169.92362546574105,164.38333392556092
9,131.5314870934426,149.056616725026,146.31131855229046
10,121.48393139459859,133.0045745012332,130.6433092930389
11,121.14293495205402,123.75303252390854,122.73881434110297
12,117.88069119744841,120.39643554359459,119.47204020756544
13,111.49632745748067,114.65549048535904,113.29236067198792
14,105.20231631798151,107.45360605481874,107.54266532496263
15,100.69156410012101,102.80244613296595,102.62744111880977
16,100.0,100.07867050115946,100.01064549833438
17,100.0,100.00002026097472,100.0
18,100.0,100.0,100.0
19,100.0,100.0,100.0
20,100.0,100.0,100.0
21,100.0,100.0,100.0
22,100.0,100.0,100.0
23,100.0,100.0,100.0
24,100.0,100.0,100.0
25,100.0,100.0,100.0
26,100.0,100.0,100.0
27,100.0,100.0,100.0
28,100.0,100.0,100.0
29,100.0,100.0,100.0
30,100.0,100.0,100.0
31,100.0,100.0,100.0
32,100.0,100.0,100.0
33,100.0,100.0,100.0
34,100.0,100.0,100.0
35,100.0,100.0,100.0
36,100.0,100.0,100.0
37,100.0,100.0,100.0
38,100.0,100.0,100.0
39,100.0,100.0,100.0
40,100.0,100.0,100.0
41,100.0,100.0,100.0
42,100.0,100.0,100.0
43,100.0,100.0,100.0
44,100.0,100.0,100.0
45,100.0,100.0,100.0
46,100.0,100.0,100.0
47,100.0,100.0,100.0
48,100.0,100.0,100.0
49,100.0,100.0,100.0
50,100.0,100.0,100.0
51,100.0,100.0,100.0
52,100.0,100.0,100.0
53,100.0,100.0,100.0
54,100.0,100.0,100.0
55,100.0,100.0,100.0
56,100.0,100.0,100.0
57,100.0,100.0,100.0
58,100.0,100.0,100.0
59,100.0,100.0,100.0
60,100.0,100.0,100.0
61,100.0,100.0,100.0
62,100.0,100.0,100.0
63,100.0,100.0,100.0
64,100.0,100.0,100.0
65,100.0,100.0,100.0
66,100.0,100.0,100.0
67,100.0,100.0,100.0
68,100.0,100.0,100.0
69,100.0,100.0,100.0
70,100.0,100.0,100.0
71,100.0,100.0,100.0
72,100.0,100.0,100.0
73,100.0,100.0,100.0
74,100.0,100.0,100.0
75,100.0,100.0,100.0
76,100.0,100.0,100.0
77,100.0,100.0,100.0
78,100.0,100.0,100.0
79,100.0,100.0,100.0
80,100.0,100.0,100.0
81,100.0,100.0,100.0
82,100.0,100.0,100.0
83,100.0,100.0,100.0
84,100.0,100.0,100.0
85,100.0,100.0,100.0
86,100.0,100.0,100.0
87,100.0,100.0,100.0
88,100.0,100.0,100.0
89,100.0,100.0,100.0
90,100.0,100.0,100.0
91,100.0,100.0,100.0
92,100.0,100.0,100.0
93,100.0,100.0,100.0
94,100.0,100.0,100.0
95,100.0,100.0,100.0
96,100.0,100.0,100.0
97,100.0,100.0,100.0
98,100.0,100.0,100.0
99,100.0,100.0,100.0
100,100.0,100.0,100.0
101,100.0,100.0,100.0
102,100.0,100.0,100.0
103,100.0,100.0,100.0
104,100.0,100.0,100.0
105,100.0,100.0,100.0
106,100.0,100.0,100.0
107,100.0,100.0,100.0
108,100.0,100.0,100.0
109,100.0,100.0,100.0
110,100.0,100.0,100.0
111,100.0,100.0,100.0
112,100.0,100.0,100.0
113,100.0,100.0,100.0
114,100.0,100.0,100.0
115,100.0,100.0,100.0
116,100.0,100.0,100.0
117,100.0,100.0,100.0
118,100.0,100.0,100.0
119,100.0,100.0,100.0
120,100.0,100.0,100.0
121,100.0,100.0,100.0
122,100.0,100.0,100.0
123,100.0,100.0,100.0
124,100.0,100.0,100.0
125,100.0,100.0,100.0
126,100.0,100.0,100.0
127,100.0,100.0,100.0
128,100.0,100.0,100.0
129,100.0,100.0,100.0
130,100.0,100.0,100.0
131,100.0,100.0,100.0
132,100.0,100.0,100.0
133,100.0,100.0,100.0
134,100.0,100.0,100.0
135,100.0,100.0,100.0
136,100.0,100.0,100.0
137,100.0,100.0,100.0
138,100.0,100.0,100.0
139,100.0,100.0,100.0
140,100.0,100.0,100.0
141,100.0,100.0,100.0
142,100.0,100.0,100.0
143,100.0,100.0,100.0
144,100.0,100.0,100.0
145,100.0,100.0,100.0
146,100.0,100.0,100.0
147,100.0,100.0,100.0
148,100.0,100.0,100.0
149,100.0,100.0,100.0
150,100.0,100.0,100.0
151,100.0,100.0,100.0
152,100.0,100.0,100.0
153,100.0,100.0,100.0
154,100.0,100.0,100.0
155,100.0,100.0,100.0
156,100.0,100.0,100.0
157,100.0,100.0,100.0
158,100.0,100.0,100.0
159,100.0,100.0,100.0
160,100.0,100.0,100.0
161,100.0,100.0,100.0
162,100.0,100.0,100.0
163,100.0,100.0,100.0
164,100.0,100.0,100.0
165,100.0,100.0,100.0
166,100.0,100.0,100.0
167,100.0,100.0,100.0
168,100.0,100.0,100.0
169,100.0,100.0,100.0
170,100.0,100.0,100.0
171,100.0,100.0,100.0
172,100.0,100.0,100.0
