generation,best_fitness,mean_fitness,median_fitness
0,3490.86328125,4055.131591796875,4084.802978515625
1,3490.86328125,3961.9299651274982,4043.89208984375
2,3490.86328125,3961.9299651274982,4043.89208984375
3,3490.86328125,3961.9299651274982,4043.89208984375
4,3490.86328125,3961.9299651274982,4043.89208984375
5,3490.86328125,3961.9299651274982,4043.89208984375
6,3490.86328125,3961.9299651274982,4043.89208984375
7,3490.86328125,3950.5272421010436,4035.0517270261116
8,3490.86328125,3950.5272421010436,4035.0517270261116
9,3490.86328125,3936.0821701064315,3962.826367053053
10,3490.86328125,3915.48358132478,3930.1206162916046
11,3490.86328125,3900.1640892357427,3930.1206162916046
12,3376.0480927801036,3874.2683612261767,3930.1206162916046
13,3342.2148591695277,3861.1704318734264,3896.5603354151717
14,3342.2148591695277,3861.1704318734264,3896.5603354151717
15,3342.2148591695277,3827.8617774708814,3867.701171875
16,3338.3119867898104,3825.6960743896207,3867.701171875
17,3335.2003964227233,3824.1210099164455,3867.701171875
18,3335.2003964227233,3824.1210099164455,3867.701171875
19,3335.2003964227233,3817.25994439918,3867.701171875
20,3335.1891572684963,3816.982044687333,3867.701171875
21,3335.1891572684963,3816.982044687333,3867.701171875
22,3333.53437038252,3814.16022694813,3867.701171875
23,3333.53437038252,3814.16022694813,3867.701171875
24,3326.9209868599673,3813.1982295749085,3867.701171875
25,3326.9209868599673,3812.8743909973105,3867.701171875
26,3326.9209868599673,3812.5633666852564,3867.701171875
27,3326.9209868599673,3811.7826195147404,3867.701171875
28,3323.3340079719064,3810.3648557050437,3867.701171875
29,3323.3340079719064,3809.728715670083,3867.701171875
30,3323.129291242812,3806.77758692479,3867.701171875
31,3319.2421320265657,3758.3116957935317,3832.3787951669246
32,3316.529544140313,3712.287500461597,3633.673095703125
33,3315.070351588778,3693.005085816908,3633.673095703125
34,3312.7890301201373,3692.6442139556457,3633.673095703125
35,3300.366501697654,3689.6870621826515,3633.673095703125
36,3300.366501697654,3689.074734590282,3633.673095703125
37,3297.0493463266143,3687.6096265310784,3633.673095703125
38,3297.0493463266143,3687.6096265310784,3633.673095703125
39,3297.0493463266143,3687.6096265310784,3633.673095703125
40,3297.0493463266143,3686.8640138675355,3633.673095703125
