generation,best_fitness,mean_fitness,median_fitness
0,4831.48388671875,5618.16357421875,5579.5185546875
1,5175.1787109375,5675.29443359375,5557.9365234375
2,5401.85888671875,5935.7998046875,5739.36279296875
3,5595.54296875,6052.779296875,5969.41259765625
4,5253.056640625,5787.52587890625,5742.89306640625
5,5527.3896484375,6055.69189453125,6036.7216796875
6,5200.6826171875,5987.421875,5994.3955078125
7,5559.10205078125,6025.3232421875,6008.4140625
8,5565.1005859375,6270.97119140625,6230.955078125
9,5441.4072265625,6024.06396484375,5988.7138671875
10,5389.90478515625,6016.34814453125,6032.8154296875
11,5232.93505859375,5790.0849609375,5742.0537109375
12,4761.01953125,5642.63134765625,5733.38232421875
13,5155.6396484375,5489.35009765625,5509.1005859375
14,5114.2060546875,5430.0634765625,5431.734375
15,4700.833984375,5367.75390625,5292.3271484375
16,4875.8271484375,5116.91162109375,5104.296875
17,5114.86572265625,5402.927734375,5359.3076171875
18,4968.46875,5440.17333984375,5494.95458984375
19,5001.6826171875,5349.755859375,5323.298828125
20,5171.6494140625,5518.0625,5464.7783203125
21,5136.60400390625,5452.4521484375,5474.1787109375
22,4729.02490234375,5490.08203125,5536.3896484375
23,4943.1142578125,5368.26416015625,5403.0810546875
24,4702.56689453125,5222.4560546875,5294.875
25,4544.404296875,5314.7646484375,5393.4892578125
26,4748.39404296875,5098.21435546875,5133.892578125
27,4720.6943359375,5085.7275390625,5088.6826171875
28,4638.462890625,5126.43017578125,5200.56640625
29,4861.779296875,5163.0556640625,5122.43017578125
30,4830.8603515625,5359.658203125,5276.14453125
31,4374.970703125,5139.2158203125,5187.9072265625
32,4673.4814453125,5147.6494140625,5137.1357421875
33,4686.27099609375,5246.67236328125,5292.0517578125
34,4666.8388671875,5120.14453125,5092.52783203125
35,4895.578125,5212.19580078125,5218.6845703125
36,4848.09375,5113.1650390625,5143.62939453125
37,4871.9189453125,5155.65234375,5154.4140625
38,4807.4326171875,5290.4912109375,5330.1142578125
39,4975.744140625,5392.794921875,5379.55859375
40,4794.50390625,5392.486328125,5378.390625
41,4574.9462890625,5017.91845703125,5041.10009765625
42,4776.3056640625,5127.3740234375,5100.10205078125
43,4690.0166015625,5007.0224609375,4989.0107421875
44,4507.25390625,5059.5244140625,4988.93994140625
45,4813.2548828125,5065.27197265625,4978.8779296875
46,4496.0927734375,4961.8544921875,4886.9482421875
47,4442.01220703125,4884.1884765625,4842.732421875
48,4437.9013671875,4994.5400390625,4985.0712890625
49,4468.25146484375,4865.77734375,4882.31591796875
