generation,best_fitness,mean_fitness,median_fitness
0,80357.69052434254,80367.18223834001,80366.90240497055
1,80345.42275217992,80356.17405753913,80356.2407485581
2,80344.20237932901,80353.16636052419,80352.39131514775
3,80339.25325131942,80349.54021839015,80349.62562433722
4,80338.33033424366,80348.29205344683,80349.1347001991
5,80320.57507510154,80340.21887338418,80342.73229675966
6,80320.57507510154,80337.12582250072,80339.18608779152
7,80317.44253648075,80331.8987348879,80332.26207367828
8,80305.54142968412,80321.59775819741,80323.12940351272
9,80305.54142968412,80317.27125774098,80318.93768004692
10,80300.92595885572,80308.87246746963,80307.78336348999
11,80300.92595885572,80308.2901387685,80307.54447116639
12,80300.92595885572,80305.84635237527,80306.69200628996
13,80300.92595885572,80305.59987286448,80305.58717388683
14,80298.9017046124,80304.50454976517,80303.63694850361
15,80295.87162147417,80300.65469341297,80300.79889923302
16,80295.87162147417,80298.9492168827,80299.20488988946
17,80294.67153374114,80297.66378071162,80296.39353278586
18,80293.86991632087,80296.70738414806,80296.08272263595
19,80291.93111108449,80295.48447880526,80295.87882455732
20,80291.93111108449,80294.99621373446,80295.58461683686
21,80291.93111108449,80294.82548688685,80295.15400734774
22,80291.93111108449,80294.82548688685,80295.15400734774
23,80291.93111108449,80294.82548688685,80295.15400734774
24,80290.76755879055,80294.45327792884,80295.04368462211
25,80290.76755879055,80294.37202887158,80295.04368462211
26,80290.76755879055,80294.1880432606,80295.04368462211
27,80290.76755879055,80294.1880432606,80295.04368462211
28,80290.76755879055,80294.1880432606,80295.04368462211
29,80290.76755879055,80294.1753602765,80295.04368462211
30,80290.76755879055,80294.15088159459,80294.92129121255
31,80290.76755879055,80294.09986793277,80294.92129121255
32,80290.76755879055,80293.77199477635,80293.8416874564
33,80290.76755879055,80293.69985529126,80293.8416874564
34,80290.76755879055,80293.6676831336,80293.73710076077
35,80290.76755879055,80293.50049293498,80293.73710076077
36,80290.76755879055,80293.18470705464,80293.3347921321
37,80290.76755879055,80293.18470705464,80293.3347921321
38,80290.76755879055,80293.18470705464,80293.3347921321
39,80290.76755879055,80293.16361999289,80293.3347921321
40,80290.76755879055,80293.16361999289,80293.3347921321
41,80290.76755879055,80293.0545662647,80293.3347921321
42,80290.76755879055,80293.0545662647,80293.3347921321
43,80290.76755879055,80293.0545662647,80293.3347921321
44,80290.76755879055,80293.0545662647,80293.3347921321
45,80290.76755879055,80292.96402881948,80293.3347921321
46,80290.76755879055,80292.92748150992,80293.28859414013
47,80290.76755879055,80292.7012235601,80292.8193131869
48,80290.76755879055,80292.621331816,80292.8193131869
49,80290.76755879055,80292.621331816,80292.8193131869
50,80290.76755879055,80292.621331816,80292.8193131869
51,80290.76755879055,80292.621331816,80292.8193131869
52,80290.76755879055,80292.60890584638,80292.8193131869
53,80290.76755879055,80292.51109359841,80292.5459752711
54,80290.76755879055,80292.38485250338,80292.3197666668
55,80290.76755879055,80292.38485250338,80292.3197666668
56,80290.76755879055,80292.38485250338,80292.3197666668
57,80290.76755879055,80292.36944220049,80292.24271515237
58,80290.76755879055,80292.29237282477,80292.24271515237
59,80290.76755879055,80292.29237282477,80292.24271515237
60,80290.76755879055,80292.29237282477,80292.24271515237
61,80290.76755879055,80292.13110726252,80291.95003776986
