generation,best_fitness,mean_fitness,median_fitness
0,80360.4654466258,80366.07709427604,80365.78200983496
1,80354.10300083211,80358.58640710756,80357.54854519144
2,80349.33504367556,80353.48726036951,80353.9693643344
3,80345.72518045509,80348.66155406577,80348.73596135018
4,80343.58970032916,80345.36905914058,80345.14379896969
5,80343.00212986105,80343.6680886094,80343.45954250012
6,80342.60583590994,80343.25871373017,80343.1422184456
7,80342.15471748653,80342.6361450495,80342.61506060077
8,80341.41397610042,80341.81556895601,80341.82455649099
9,80340.57248524009,80341.18586836723,80341.22477225077
10,80339.39752171689,80340.25217215726,80340.3838239053
11,80338.51116925234,80338.8779918242,80338.82414443052
12,80337.92060438966,80338.19293149708,80338.12283364224
13,80337.88852307487,80338.02496333807,80337.95454558838
14,80337.71026765533,80337.87400579854,80337.85494922605
15,80337.62422177289,80337.73125243367,80337.69677099143
16,80336.95726562347,80337.39895716729,80337.44377327673
17,80336.85410749716,80336.96796982962,80336.96243368307
18,80336.53756282368,80336.72000701082,80336.7252097658
19,80336.24020494022,80336.4038951468,80336.37467047982
20,80336.23360367704,80336.26589604715,80336.24596621483
21,80336.20251312612,80336.22610517946,80336.22469020034
22,80336.16704295977,80336.17688545775,80336.16704295977
23,80336.16704295977,80336.16704295976,80336.16704295977
24,80336.16704295977,80336.16704295976,80336.16704295977
25,80336.16704295977,80336.16704295976,80336.16704295977
26,80336.16704295977,80336.16704295976,80336.16704295977
27,80336.16704295977,80336.16704295976,80336.16704295977
28,80336.16704295977,80336.16704295976,80336.16704295977
29,80336.16704295977,80336.16704295976,80336.16704295977
30,80336.16704295977,80336.16704295976,80336.16704295977
31,80336.16704295977,80336.16704295976,80336.16704295977
32,80336.16704295977,80336.16704295976,80336.16704295977
33,80336.16704295977,80336.16704295976,80336.16704295977
34,80336.16704295977,80336.16704295976,80336.16704295977
35,80336.16704295977,80336.16704295976,80336.16704295977
36,80336.16704295977,80336.16704295976,80336.16704295977
37,80336.16704295977,80336.16704295976,80336.16704295977
38,80336.16704295977,80336.16704295976,80336.16704295977
39,80336.16704295977,80336.16704295976,80336.16704295977
40,80336.16704295977,80336.16704295976,80336.16704295977
41,80336.16704295977,80336.16704295976,80336.16704295977
42,80336.16704295977,80336.16704295976,80336.16704295977
43,80336.16704295977,80336.16704295976,80336.16704295977
44,80336.16704295977,80336.16704295976,80336.16704295977
45,80336.16704295977,80336.16704295976,80336.16704295977
46,80336.16704295977,80336.16704295976,80336.16704295977
47,80336.16704295977,80336.16704295976,80336.16704295977
48,80336.16704295977,80336.16704295976,80336.16704295977
49,80336.16704295977,80336.16704295976,80336.16704295977
50,80336.16704295977,80336.16704295976,80336.16704295977
51,80336.16704295977,80336.16704295976,80336.16704295977
52,80336.16704295977,80336.16704295976,80336.16704295977
53,80336.16704295977,80336.16704295976,80336.16704295977
54,80336.16704295977,80336.16704295976,80336.16704295977
55,80336.16704295977,80336.16704295976,80336.16704295977
56,80336.16704295977,80336.16704295976,80336.16704295977
57,80336.16704295977,80336.16704295976,80336.16704295977
58,80336.16704295977,80336.16704295976,80336.16704295977
59,80336.16704295977,80336.16704295976,80336.16704295977
60,80336.16704295977,80336.16704295976,80336.16704295977
61,80336.16704295977,80336.16704295976,80336.16704295977
62,80336.16704295977,80336.16704295976,80336.16704295977
63,80336.16704295977,80336.16704295976,80336.16704295977
64,80336.16704295977,80336.16704295976,80336.16704295977
65,80336.16704295977,80336.16704295976,80336.16704295977
66,80336.16704295977,80336.16704295976,80336.16704295977
67,80336.16704295977,80336.16704295976,80336.16704295977
68,80336.16704295977,80336.16704295976,80336.16704295977
69,80336.16704295977,80336.16704295976,80336.16704295977
70,80336.16704295977,80336.16704295976,80336.16704295977
71,80336.16704295977,80336.16704295976,80336.16704295977
72,80336.16704295977,80336.16704295976,80336.16704295977
73,80336.16704295977,80336.16704295976,80336.16704295977
74,80336.16704295977,80336.16704295976,80336.16704295977
75,80336.16704295977,80336.16704295976,80336.16704295977
76,80336.16704295977,80336.16704295976,80336.16704295977
77,80336.16704295977,80336.16704295976,80336.16704295977
78,80336.16704295977,80336.16704295976,80336.16704295977
79,80336.16704295977,80336.16704295976,80336.16704295977
80,80336.16704295977,80336.16704295976,80336.16704295977
81,80336.16704295977,80336.16704295976,80336.16704295977
82,80336.16704295977,80336.16704295976,80336.16704295977
83,80336.16704295977,80336.16704295976,80336.16704295977
84,80336.16704295977,80336.16704295976,80336.16704295977
85,80336.16704295977,80336.16704295976,80336.16704295977
86,80336.16704295977,80336.16704295976,80336.16704295977
87,80336.16704295977,80336.16704295976,80336.16704295977
88,80336.16704295977,80336.16704295976,80336.16704295977
89,80336.16704295977,80336.16704295976,80336.16704295977
90,80336.16704295977,80336.16704295976,80336.16704295977
91,80336.16704295977,80336.16704295976,80336.16704295977
92,80336.16704295977,80336.16704295976,80336.16704295977
93,80336.16704295977,80336.16704295976,80336.16704295977
94,80336.16704295977,80336.16704295976,80336.16704295977
95,80336.16704295977,80336.16704295976,80336.16704295977
96,80336.16704295977,80336.16704295976,80336.16704295977
97,80336.16704295977,80336.16704295976,80336.16704295977
98,80336.16704295977,80336.16704295976,80336.16704295977
99,80336.16704295977,80336.16704295976,80336.16704295977
100,80336.16704295977,80336.16704295976,80336.16704295977
101,80336.16704295977,80336.16704295976,80336.16704295977
102,80336.16704295977,80336.16704295976,80336.16704295977
103,80336.16704295977,80336.16704295976,80336.16704295977
104,80336.16704295977,80336.16704295976,80336.16704295977
105,80336.16704295977,80336.16704295976,80336.16704295977
106,80336.16704295977,80336.16704295976,80336.16704295977
107,80336.16704295977,80336.16704295976,80336.16704295977
108,80336.16704295977,80336.16704295976,80336.16704295977
109,80336.16704295977,80336.16704295976,80336.16704295977
110,80336.16704295977,80336.16704295976,80336.16704295977
111,80336.16704295977,80336.16704295976,80336.16704295977
112,80336.16704295977,80336.16704295976,80336.16704295977
113,80336.16704295977,80336.16704295976,80336.16704295977
114,80336.16704295977,80336.16704295976,80336.16704295977
115,80336.16704295977,80336.16704295976,80336.16704295977
116,80336.16704295977,80336.16704295976,80336.16704295977
117,80336.16704295977,80336.16704295976,80336.16704295977
118,80336.16704295977,80336.16704295976,80336.16704295977
119,80336.16704295977,80336.16704295976,80336.16704295977
120,80336.16704295977,80336.16704295976,80336.16704295977
121,80336.16704295977,80336.16704295976,80336.16704295977
122,80336.16704295977,80336.16704295976,80336.16704295977
123,80336.16704295977,80336.16704295976,80336.16704295977
124,80336.16704295977,80336.16704295976,80336.16704295977
125,80336.16704295977,80336.16704295976,80336.16704295977
126,80336.16704295977,80336.16704295976,80336.16704295977
127,80336.16704295977,80336.16704295976,80336.16704295977
128,80336.16704295977,80336.16704295976,80336.16704295977
129,80336.16704295977,80336.16704295976,80336.16704295977
130,80336.16704295977,80336.16704295976,80336.16704295977
131,80336.16704295977,80336.16704295976,80336.16704295977
132,80336.16704295977,80336.16704295976,80336.16704295977
133,80336.16704295977,80336.16704295976,80336.16704295977
134,80336.16704295977,80336.16704295976,80336.16704295977
135,80336.16704295977,80336.16704295976,80336.16704295977
136,80336.16704295977,80336.16704295976,80336.16704295977
137,80336.16704295977,80336.16704295976,80336.16704295977
138,80336.16704295977,80336.16704295976,80336.16704295977
139,80336.16704295977,80336.16704295976,80336.16704295977
140,80336.16704295977,80336.16704295976,80336.16704295977
141,80336.16704295977,80336.16704295976,80336.16704295977
142,80336.16704295977,80336.16704295976,80336.16704295977
143,80336.16704295977,80336.16704295976,80336.16704295977
144,80336.16704295977,80336.16704295976,80336.16704295977
145,80336.16704295977,80336.16704295976,80336.16704295977
146,80336.16704295977,80336.16704295976,80336.16704295977
147,80336.16704295977,80336.16704295976,80336.16704295977
148,80336.16704295977,80336.16704295976,80336.16704295977
149,80336.16704295977,80336.16704295976,80336.16704295977
