generation,best_fitness,mean_fitness,median_fitness
0,80364.234375,80372.0625,80372.265625
1,80358.15625,80367.3125,80365.765625
2,80355.109375,80361.1953125,80361.46875
3,80352.5,80355.703125,80355.78125
4,80351.9296875,80355.8046875,80355.59375
5,80350.171875,80354.015625,80353.953125
6,80347.921875,80352.4453125,80352.96875
7,80342.609375,80348.546875,80349.2265625
8,80343.9765625,80347.953125,80347.8515625
9,80343.625,80346.75,80345.71875
10,80340.1328125,80347.3203125,80347.5859375
11,80342.515625,80345.640625,80344.8125
12,80342.5625,80344.921875,80344.75
13,80340.1171875,80343.921875,80344.1171875
14,80336.78125,80341.953125,80340.9921875
15,80337.8125,80341.5859375,80341.34375
16,80334.921875,80338.921875,80339.234375
17,80333.890625,80337.0390625,80337.234375
18,80333.921875,80336.96875,80336.21875
19,80335.5390625,80337.671875,80337.125
20,80332.7734375,80336.8359375,80336.578125
21,80332.8671875,80335.578125,80335.65625
22,80332.203125,80334.171875,80334.125
23,80332.0,80334.859375,80334.8984375
24,80332.0390625,80335.296875,80335.734375
25,80329.7421875,80333.9296875,80334.3515625
26,80330.15625,80332.265625,80332.6171875
27,80330.6875,80332.890625,80332.7734375
28,80328.3359375,80332.0546875,80331.7265625
29,80328.171875,80330.6796875,80330.953125
30,80327.0625,80330.8359375,80330.4296875
31,80328.5078125,80330.921875,80331.0
32,80327.0234375,80329.9296875,80329.828125
33,80326.109375,80328.890625,80328.546875
34,80325.0234375,80328.234375,80328.578125
35,80324.765625,80326.75,80326.734375
36,80324.3359375,80326.5,80326.1328125
37,80321.046875,80326.46875,80326.953125
38,80322.546875,80323.78125,80323.25
39,80321.7265625,80323.7265625,80323.8515625
40,80321.3984375,80323.5078125,80323.9765625
41,80320.3125,80323.328125,80323.78125
42,80319.078125,80322.1796875,80322.390625
43,80318.2109375,80321.203125,80321.4375
44,80317.6875,80320.8515625,80321.71875
45,80317.78125,80320.5625,80320.578125
46,80318.546875,80320.1875,80319.59375
47,80316.6875,80319.609375,80319.359375
48,80314.78125,80317.3515625,80317.078125
49,80314.8046875,80316.453125,80315.953125
50,80312.5703125,80315.5234375,80316.171875
51,80312.8359375,80314.75,80314.828125
52,80311.1796875,80314.328125,80314.625
53,80311.6171875,80313.734375,80312.5546875
54,80311.96875,80313.5390625,80312.9296875
55,80310.53125,80312.921875,80312.6171875
56,80309.171875,80311.5859375,80312.140625
57,80309.515625,80310.953125,80310.71875
58,80308.7734375,80311.1015625,80311.015625
59,80309.5625,80310.8828125,80310.2421875
60,80309.21875,80310.703125,80310.8046875
61,80308.140625,80310.640625,80310.78125
62,80307.7734375,80310.25,80310.15625
63,80307.2265625,80309.609375,80309.4453125
64,80307.453125,80309.015625,80308.4296875
65,80305.890625,80308.4453125,80308.3984375
66,80305.4140625,80307.3125,80306.484375
67,80304.3359375,80306.296875,80306.578125
68,80305.03125,80306.3515625,80305.6875
69,80303.59375,80305.890625,80305.25
70,80303.0859375,80305.9453125,80305.53125
71,80302.1640625,80304.2890625,80304.34375
72,80302.1953125,80304.015625,80304.1328125
73,80301.828125,80303.6484375,80303.7421875
74,80302.71875,80303.7109375,80303.7265625
75,80301.484375,80303.671875,80303.515625
76,80301.6875,80303.4765625,80302.890625
77,80300.5,80302.640625,80302.578125
78,80301.7109375,80302.6796875,80302.6640625
79,80300.71875,80303.046875,80303.25
80,80301.2578125,80302.2734375,80302.078125
81,80301.078125,80302.6796875,80302.7109375
82,80301.0078125,80302.453125,80302.4140625
83,80300.625,80302.390625,80302.6015625
84,80300.25,80302.25,80301.9296875
85,80299.2421875,80301.0390625,80300.890625
86,80300.125,80301.8359375,80302.234375
87,80299.484375,80301.96875,80301.859375
88,80300.109375,80301.140625,80300.984375
89,80299.7421875,80301.4609375,80301.2578125
90,80299.7109375,80302.0,80301.765625
91,80299.8046875,80301.1015625,80301.09375
92,80299.5546875,80300.859375,80300.390625
93,80299.9921875,80301.1171875,80301.0390625
94,80299.078125,80300.5625,80300.6640625
95,80298.9296875,80300.5546875,80300.34375
96,80298.46875,80299.859375,80299.84375
97,80298.3125,80299.6328125,80299.546875
98,80298.0,80299.3828125,80299.09375
99,80297.71875,80298.7890625,80299.046875
100,80298.0625,80298.7578125,80298.453125
101,80297.0234375,80299.203125,80299.640625
102,80297.1171875,80299.0859375,80298.953125
103,80297.03125,80298.9609375,80298.765625
104,80296.03125,80297.9375,80298.0234375
105,80295.609375,80298.3125,80298.0546875
106,80296.015625,80297.2421875,80297.0390625
107,80295.84375,80296.828125,80296.8125
108,80296.59375,80297.8515625,80297.3671875
109,80295.3515625,80297.921875,80298.234375
110,80296.546875,80297.671875,80297.3828125
111,80297.3203125,80297.8359375,80297.8046875
112,80296.375,80298.046875,80297.984375
113,80296.8515625,80299.2421875,80299.3125
114,80296.3359375,80298.265625,80298.328125
115,80296.046875,80297.84375,80297.703125
116,80296.7578125,80297.640625,80297.484375
117,80295.703125,80297.9609375,80298.0
118,80296.03125,80298.1484375,80298.40625
119,80295.421875,80297.078125,80297.484375
120,80295.4921875,80296.78125,80296.8984375
121,80295.4609375,80296.109375,80296.1171875
122,80296.2890625,80297.1796875,80297.0625
123,80296.6171875,80297.15625,80297.140625
124,80295.59375,80297.4140625,80297.5625
125,80295.1875,80296.078125,80295.984375
126,80295.5546875,80296.9140625,80296.890625
127,80295.7109375,80296.703125,80296.7734375
