generation,best_fitness,mean_fitness,median_fitness
0,0.7739560485559633,4.745838550568491,5.441216488025471
1,0.7739560485559633,5.296249865232484,5.5418701366208065
2,5.116676281702336,7.003634836690795,5.880206690120932
3,3.170130625164934,5.75416080856434,5.5821203454546975
4,3.143705118931611,6.576604891583233,5.526020042941522
5,4.542141455064496,6.3049114198237355,5.802678316807142
6,3.419948215454913,5.736882849310031,5.732082101769116
7,0.7739560485559633,4.989665616357809,5.50349527478453
8,3.7389982384951095,5.8985587517847895,5.67455861805623
9,3.136684548195975,5.495024329023687,5.580743546447939
10,3.3174930541563286,5.571190243042249,5.745344255738242
11,0.7739560485559633,5.149146558309932,5.463681827441778
12,4.444245151598028,6.408025221321384,5.807751737076053
13,0.7739560485559633,6.309518415088481,5.519343886121286
14,5.759204888210864,6.908003094699249,6.24268200341931
15,1.2365036866157755,5.017015179524528,5.55712424727955
16,1.874973191756155,5.634376126991972,5.757661718377107
17,5.48673342331724,7.060702335302844,5.924269466699498
18,4.075530345754457,5.822901450606126,5.552216064775251
19,3.800392198499501,5.388400845936649,5.562640934251235
20,2.520199836155501,7.002663999541869,6.514914800309082
21,5.0850322746468155,6.801984057575983,5.875914760738103
22,4.459180027604834,6.347553373153687,5.792535866467718
23,0.7739560485559633,4.876600061451577,5.707294042569096
24,5.386140954443191,5.818877878424464,5.719437266212392
