generation,best_fitness,mean_fitness,median_fitness
0,0.058984447081179066,-0.0176872498498432,-0.014663147481149535
1,0.0989199210117203,-0.011115391056753215,-0.017746637271060996
2,0.05866967231066662,-0.0132245976939952,-0.011496216068985037
3,0.057161051045592035,-0.009078997399177741,-0.007153716942405506
4,0.06583426486709665,-0.02577778583313893,-0.014731192304007188
5,0.08944600736653842,-0.03977754803332654,-0.05051116391013649
6,0.08358374847685082,-0.011614949763243785,-0.021186347259398122
7,0.061412052218160096,-0.006322472761461675,-0.006148051478131237
8,0.09672157990500396,-0.0337746781225634,-0.03627472344420947
9,0.07536741282341612,-0.01990262168165378,-0.009033180018534228
