generation,best_fitness,mean_fitness,median_fitness
0,0.0008119277177462243,0.0008119277177462243,0.0008119277177462243
1,0.001140049125640673,0.001140049125640673,0.001140049125640673
2,0.0012372406000878352,0.0012372406000878352,0.0012372406000878352
3,0.0011868434012530893,0.0011868434012530893,0.0011868434012530893
4,0.0012259837153645184,0.0012259837153645184,0.0012259837153645184
5,0.000548475766013874,0.000548475766013874,0.000548475766013874
6,0.0005361484260550371,0.0005361484260550371,0.0005361484260550371
7,0.00048374472386132796,0.00048374472386132796,0.00048374472386132796
8,5.655358877426761e-05,5.655358877426761e-05,5.655358877426761e-05
9,0.0003671175108852667,0.0003671175108852667,0.0003671175108852667
10,0.0005701703635634083,0.0005701703635634083,0.0005701703635634083
11,0.0009771671309454627,0.0009771671309454627,0.0009771671309454627
12,0.00034229749372290976,0.00034229749372290976,0.00034229749372290976
13,0.0003236173724025512,0.0003236173724025512,0.0003236173724025512
14,5.1782263704046263e-05,5.1782263704046263e-05,5.1782263704046263e-05
15,-0.0008708993369555334,-0.0008708993369555334,-0.0008708993369555334
16,-0.0009144176858788644,-0.0009144176858788644,-0.0009144176858788644
17,-0.00034668644186147766,-0.00034668644186147766,-0.00034668644186147766
18,-0.0013653082805157775,-0.0013653082805157775,-0.0013653082805157775
19,-0.0011955424778290799,-0.0011955424778290799,-0.0011955424778290799
20,-0.0014177040474744682,-0.0014177040474744682,-0.0014177040474744682
21,-0.0007946041955424022,-0.0007946041955424022,-0.0007946041955424022
22,3.8624027809083996e-05,3.8624027809083996e-05,3.8624027809083996e-05
23,-0.0003867410246047359,-0.0003867410246047359,-0.0003867410246047359
24,-0.0005776792763510717,-0.0005776792763510717,-0.0005776792763510717
25,-0.0010720472182348454,-0.0010720472182348454,-0.0010720472182348454
26,-0.0015833981713931139,-0.0015833981713931139,-0.0015833981713931139
27,-0.0020976304089887266,-0.0020976304089887266,-0.0020976304089887266
28,-0.0026017849162560756,-0.0026017849162560756,-0.0026017849162560756
29,-0.0029868595676121644,-0.0029868595676121644,-0.0029868595676121644
30,-0.0040249935071987545,-0.0040249935071987545,-0.0040249935071987545
31,-0.0019924710597593975,-0.0019924710597593975,-0.0019924710597593975
32,-0.0015106410561416103,-0.0015106410561416103,-0.0015106410561416103
33,-0.0011117707857099134,-0.0011117707857099134,-0.0011117707857099134
34,-0.001928183130417654,-0.001928183130417654,-0.001928183130417654
35,-0.002095877247798013,-0.002095877247798013,-0.002095877247798013
36,-0.002072157693752065,-0.002072157693752065,-0.002072157693752065
37,-0.0011642771100828558,-0.0011642771100828558,-0.0011642771100828558
38,-0.0014455014440494488,-0.0014455014440494488,-0.0014455014440494488
39,-0.0008829781191663476,-0.0008829781191663476,-0.0008829781191663476
40,-0.0005245176014591272,-0.0005245176014591272,-0.0005245176014591272
41,-0.0003710359834283226,-0.0003710359834283226,-0.0003710359834283226
42,-3.8137532395296026e-05,-3.8137532395296026e-05,-3.8137532395296026e-05
43,-0.0001283619675800035,-0.0001283619675800035,-0.0001283619675800035
44,0.00019698188778007403,0.00019698188778007403,0.00019698188778007403
45,2.039025865863442e-05,2.039025865863442e-05,2.039025865863442e-05
46,5.297968483715704e-05,5.297968483715704e-05,5.297968483715704e-05
47,0.00017855404472716513,0.00017855404472716513,0.00017855404472716513
48,0.00020644702562073604,0.00020644702562073604,0.00020644702562073604
49,0.00015015665925255373,0.00015015665925255373,0.00015015665925255373
50,0.00016070723169544666,0.00016070723169544666,0.00016070723169544666
51,0.00011898022697441614,0.00011898022697441614,0.00011898022697441614
52,0.00032483662317238013,0.00032483662317238013,0.00032483662317238013
53,4.452558610143698e-05,4.452558610143698e-05,4.452558610143698e-05
54,-4.09638633810328e-05,-4.09638633810328e-05,-4.09638633810328e-05
55,-5.13078189820647e-06,-5.13078189820647e-06,-5.13078189820647e-06
56,-1.7586121394178585e-05,-1.7586121394178585e-05,-1.7586121394178585e-05
57,-6.881606186876673e-05,-6.881606186876673e-05,-6.881606186876673e-05
58,-7.404501180420207e-05,-7.404501180420207e-05,-7.404501180420207e-05
59,-4.77699176041328e-05,-4.77699176041328e-05,-4.77699176041328e-05
